"","stat1","ifngr","factor.stat1","factor.ifngr"
"1",4654476.31630329,3028192.41764367,263117.286353579,92.3701387173887
"2",1828495.22967567,1064448.90808339,103364.733269249,32.4693017274457
"3",2684676.93066826,9219908.39001871,151764.637035368,281.238474802844
"4",1475805.33111861,2997054.28834615,83427.1929905274,91.4203201702403
"5",1885584.31530799,5476557.07964995,106591.976093402,167.053564427916
"6",395394.168286458,2690456.93569948,22351.6102628255,82.0680611032969
"7",957334.982188641,1349290.53446328,54118.0931058826,41.157937359679
"8",4644111.43727901,6314870.19375963,262531.360320891,192.624957509724
"9",2113424.7135285,2140728.21556572,119471.781087042,65.2994707588299
"10",4167918.62332689,2472540.32446942,235612.207128665,75.4208654063316
"11",3007100.59694909,2044276.51121607,169991.228892938,62.3573666645208
"12",4044187.37884189,2723660.95600766,228617.686784451,83.0808963326474
"13",4662822.14080126,5078680.07267443,263589.075346595,154.916966333074
"14",1001220.48065421,755478.0271837,56598.9378845076,23.0446419990702
"15",4148921.84458805,4404197.50070965,234538.320286934,134.342960410648
"16",1637977.4857663,9579395.59529246,92594.7758405146,292.204053748485
"17",3684780.15988868,5833906.54791596,208300.416758687,177.953935144781
"18",5119487.42869691,3412415.83919393,289404.338580852,104.090256151235
"19",5066571.56664048,2030821.32343202,286413.007852499,61.9469378044392
"20",5990578.79465333,1553799.15306018,338647.084875137,47.3961438087248
"21",775567.192904697,11727865.6450899,43842.7701237119,357.739676707466
"22",2021360.08630303,1391555.12446859,114267.372848919,42.4471506933091
"23",1969834.66612404,768650.787076486,111354.643722285,23.4464558506267
"24",4974224.48315448,3673027.70323586,281192.632377734,112.039801858004
"25",1725865.00340751,7186690.48980976,97563.0523070006,219.218433278826
"26",3719152.72455658,6230707.70260845,210243.49592073,190.057716096285
"27",3473983.13860147,9746788.5063046,196384.072911747,297.310105239932
"28",4890080.08365431,1864095.33840498,276435.954170824,56.8612298173871
"29",1337150.62055585,5021011.67989204,75589.0499419468,153.157884773434
"30",3657458.77343923,2318768.35153231,206755.940307746,70.7302987209754
"31",3731943.20930205,10218978.3512228,210966.541309443,311.713496920694
"32",3513855.34291965,12700289.099433,198638.046396238,387.40188999562
"33",13552979.3252403,3518155.27107806,766149.164745481,107.315667434259
"34",1234865.65714055,1307908.52124796,69806.886669499,39.8956456113631
"35",1163395.59748533,2438089.73536447,65766.6881865585,74.3700056009974
"36",1728999.28177394,1664595.95355409,97740.2328881037,50.7758219861867
"37",3593688.16408131,2928612.17216909,203150.991320338,89.3326035084614
"38",3960848.10783884,5865202.73653997,223906.522446543,178.908575037438
"39",3022651.86526821,11014378.6190692,170870.341222966,335.975902654473
"40",4211401.17776201,4696474.63506968,238070.27350374,143.258404253468
"41",10101939.7858647,3950525.63820493,571062.092217287,120.504429996406
"42",2449195.67952371,12180455.8021098,138452.895052436,371.545211435864
"43",8217507.22823388,1668237.4159767,464535.224921086,50.8868989399334
"44",1525664.94190056,5622647.42199314,86245.7540049299,171.50981532825
"45",3514028.41051002,1679629.29860709,198647.829897461,51.2343899952209
"46",3567826.06187309,9294796.9895984,201689.008126097,283.522831071363
"47",2447065.50016757,5122507.16857321,138332.476132337,156.253841395624
"48",981937.929262089,3119640.25858906,55508.8963306388,95.1596080074888
"49",4236996.72849172,2646140.74724504,239517.188557779,80.7162670590638
"50",2643301.74884409,3471559.09793032,149425.700316359,105.894326124414
"51",4070921.82388801,5385807.35467472,230128.983470625,164.285390042534
"52",3314335.50886782,12742476.17989,187359.201314235,388.688739025156
"53",2689700.96686209,3283106.54362176,152048.64552097,100.145884089587
"54",2341958.1973533,6494846.94570383,132390.766171205,198.114858827133
"55",5101089.88121231,2018689.33879326,288364.326248475,61.5768711278731
"56",3858247.52570204,3096263.67962785,218106.517265385,94.446543068549
"57",1800152.7873017,1289974.98010726,101762.536583888,39.3486117857685
"58",1817824.5013099,3254732.93209745,102761.517590359,99.2803927102597
"59",4069501.67474394,2488897.49152447,230048.702518782,75.9198144761117
"60",8958009.88816106,5207155.43447369,506395.798952837,158.835900586399
"61",1493482.26807031,4450940.47150551,84426.4692497022,135.768779546618
"62",7668011.54627138,5378396.09894531,433472.264691907,164.059321607845
"63",748127.168745184,3937157.24647553,42291.5870896424,120.096648710356
"64",2497858.32240313,17036617.2311077,141203.791538122,519.674604474769
"65",2222774.47066377,2720408.19820661,125653.316754132,82.9816761881326
"66",3303168.91568709,3791362.65839314,186727.954425034,115.649419318013
"67",7659815.47668342,1608020.1920215,433008.941335594,49.0500693852757
"68",2779956.26297163,3346758.71545925,157150.772372105,102.087491204126
"69",1709077.62437299,3451229.44909339,96614.0627072297,105.274202887792
"70",1616137.77883181,10511041.1793931,91360.1784265728,320.62240369792
"71",4275148.07700935,3175586.58601678,241673.88215992,96.8661607335035
"72",2435617.81658259,3652074.48820824,137685.339218274,111.400657737769
"73",2260445.16082787,1867395.21668837,127782.838766378,56.96188729642
"74",1689012.64294985,2661667.92875232,95479.7904273821,81.1898987547779
"75",952812.006418958,8308373.89227011,53862.4095380893,253.433581192998
"76",1119188.67407563,4822969.24783682,63267.6732737835,147.116918943692
"77",895757.257510327,4245599.56124641,50637.1077670091,129.505185379195
"78",2311579.82079299,4922980.45750894,130673.478239933,150.16760002224
"79",2030662.60693002,6329369.99459811,114793.243820707,193.067250610724
"80",15215665.0488132,2406340.00862183,860140.69589002,73.4015312575674
"81",1710584.02738048,6629583.64042011,96699.2195851579,202.224784969458
"82",5002620.27779346,5127100.24199904,282797.845063657,156.393945712315
"83",3474374.80196809,5873886.90609672,196406.21362,179.173471660892
"84",2408116.66400393,1822368.28090517,136130.700598082,55.5884130481921
"85",514234.78890291,23768993.3091855,29069.6639127388,725.034907408745
"86",1112624.97834686,3760872.16160088,62896.6279206135,114.719355758692
"87",1817142.13642607,5572163.16188037,102722.943541565,169.969874179699
"88",1120846.65555043,11485081.9251873,63361.3988740074,350.333949860301
"89",1886315.7333821,3900860.12953245,106633.323116306,118.989463543542
"90",2747546.67578343,2099476.65418065,155318.660217419,64.0411582337584
"91",1277624.73236578,2410749.20413527,72224.0548052229,73.5360266743167
"92",2282153.93651532,9256345.10020434,129010.034644233,282.34991803698
"93",896335.316635975,8863570.11373149,50669.7854171154,270.368948870745
"94",9447290.92946274,4207700.74407711,534054.828906566,128.349142923386
"95",2102686.19394556,1613455.39159501,118864.733174429,49.2158614055042
"96",1965771.50204539,2788055.44051234,111124.95328372,85.0451465010565
"97",542101.187693425,3013312.9945071,30644.9498808991,91.9162658488246
"98",7695370.50669992,2771886.19800587,435018.86519779,84.551929767346
"99",2273750.86388409,8871551.65284891,128535.009417438,270.612412882859
"100",1903802.77495413,22056740.3967936,107621.864600267,672.805386551562
"101",3039767.27663758,1174849.47372081,171837.874472315,35.8368933979716
"102",5182188.53566319,13024831.18205,292948.828657758,397.301524185409
"103",1403981.68343779,8353563.76279682,79367.0061962369,254.812025503489
"104",4496593.81212886,4159236.86557089,254192.197205402,126.870830265868
"105",7183165.13159327,1346217.92952795,406063.923933674,41.0642124885489
"106",1322356.37577362,3025040.70904166,74752.7321102039,92.2740009161484
"107",3200214.6454116,1839148.24212428,180907.955273139,56.1002587738635
"108",3751614.33948943,5698700.62786102,212078.549200917,173.829696038269
"109",2885602.15796334,4803252.9367937,163122.928918964,146.515504589889
"110",4060352.69899077,966386.097815126,229531.511430139,29.478053438625
"111",4778211.20081698,3854910.87551442,270112.012468411,117.587855461151
"112",5493219.04233518,11841338.0996849,310531.365838592,361.200971409373
"113",3826155.65731406,11620035.4843766,216292.36573674,354.45049110454
"114",1203810.76255661,7748595.82318456,68051.355212114,236.358451623584
"115",2394366.47097838,5754822.435811,135353.402953866,175.541601515348
"116",2856769.40282961,22968332.7913854,161493.014880663,700.612046211479
"117",421867.096776915,1550522.82121092,23848.1234327053,47.2962045757895
"118",5366829.39052691,1182130.03177313,303386.565876783,36.0589751102548
"119",871067.134877292,3226436.57029054,49241.3765127354,98.4172577093023
"120",4924114.99961028,6608727.47553315,278359.946070029,201.588601207655
"121",2032934.4795938,1209985.33187377,114921.672655578,36.9086562333296
"122",284772.528449487,3888361.09400192,16098.1751376032,118.608200569941
"123",3932800.20711756,6463745.08311235,222320.976184367,197.166146537516
"124",1830897.03937087,3278919.90975959,103500.507437253,100.018177558009
"125",18517318.0539518,3408339.05853132,1046782.95597636,103.965900514806
"126",10038212.3854455,3838721.40092479,567459.585828775,117.094021580288
"127",2808111.19727183,3712488.45729756,158742.369236522,113.24348868627
"128",2338724.52506953,4025453.40539842,132207.966857502,122.789981009982
"129",5934704.30597499,1734644.90669531,335488.503148995,52.9125526248878
"130",3023713.04936923,1001856.8574411,170930.329900962,30.5600319047132
"131",2156148.23255039,7469024.43611224,121886.939232576,227.830576164013
"132",1682363.73869564,2721844.30229604,95103.928241025,83.0254822333431
"133",3106094.08017476,1895449.72730677,175587.324973993,57.8176450159004
"134",1512880.8326499,4385348.5467267,85523.0690225831,133.768003388783
"135",3587298.87113859,1315295.38679871,202789.804946928,40.1209700628855
"136",2067038.48388983,2647073.73817625,116849.570114789,80.7447264466628
"137",6296257.26892001,6216647.07659649,355927.071962843,189.628819316936
"138",2394623.98013237,3918861.19745524,135367.959931967,119.538557165005
"139",3252830.68109997,7032250.33953215,183882.336833641,214.507484918491
"140",1402548.46493879,9940724.52195336,79285.986434489,303.22581144255
"141",1007065.9107911,7454356.70426422,56929.3797238611,227.383160597691
"142",12692392.6094298,1292850.15897913,717500.245737588,39.4363144924012
"143",1111361.7077919,5486689.47986629,62825.2153066554,167.362636998096
"144",658876.721394224,2972648.52490768,37246.264282741,90.6758616143107
"145",2035367.08615388,1201972.77202195,115059.187768634,36.6642459836105
"146",6065947.70015547,7471639.55068146,342907.684896175,227.910346027418
"147",4721022.24278654,6166580.18285921,266879.123863166,188.101609258316
"148",8000828.56985441,5999701.05124542,452286.392457626,183.011229780978
"149",9755712.81979014,4647226.88076365,551489.901151049,141.756180725576
"150",3875783.17726714,2965086.99999289,219097.806669542,90.445209459836
"151",382430.561141272,15210653.0083203,21618.7782745205,463.976503003692
"152",3339261.39035917,3935487.96966514,188768.26000361,120.045730106362
"153",4684415.36043766,3555302.69628279,264809.738847335,108.448789886835
"154",5650063.14025617,3450739.41419005,319397.753939224,105.259255161309
"155",1856359.18597423,8720731.92026631,104939.881163475,266.011899540707
"156",820750.601258115,2368440.81258367,46396.9856758492,72.2454772449739
"157",2942060.13200198,5558496.77318652,166314.495039955,169.55300297559
"158",4537256.94347598,5975077.94770839,256490.88175069,182.260141614943
"159",3017816.68248001,3184333.78862463,170597.008609842,97.1329800787897
"160",902912.290156081,2375142.29879324,51041.5813630885,72.4498953021566
"161",1033263.65245845,967901.913129584,58410.3365979916,29.5242909465358
"162",1682127.51355927,3147637.35424647,95090.5744472519,96.0136143759385
"163",5671854.64717437,3192560.106895,320629.626608935,97.3839106852269
"164",4062972.16087393,3409406.48462919,229679.589464179,103.998460630919
"165",7272579.9722572,2119069.24421601,411118.539885382,64.6387986772304
"166",6939653.71537226,1023176.97605663,392298.237167203,31.2103678287163
"167",1556393.91705783,4092423.26155057,87982.8612553175,124.832788747896
"168",1607818.54121191,2194365.50511745,90889.8923882892,66.9355899986283
"169",2195301.92212487,5897944.57531744,124100.295118712,179.907312162634
