"","stat1","ifngr","factor.stat1","factor.ifngr"
"1",1930329.09692393,5242291.92425363,109121.396100554,159.907682688522
"2",1333393.34022,5034102.23703901,75376.651094288,153.557191162456
"3",3135362.90048064,2852210.84773141,177241.889752135,87.0021040014348
"4",1380205.51617469,4646127.91411823,78022.9407880095,141.722658515795
"5",1648936.7318013,2166444.49367735,93214.3014071413,66.0839044568426
"6",2079201.3168925,3781088.88420641,117537.134385516,115.336034362272
"7",6438397.47326541,2496784.77653547,363962.2497804,76.160403418322
"8",5158480.0920481,2592471.12755063,291608.591663572,79.0791616402676
"9",5209602.63574637,2793192.90679857,294498.546205239,85.2018566462739
"10",3599080.9843492,3093066.11343926,203455.847149062,94.3490064553941
"11",3412028.02121904,8397101.50377534,192881.753584376,256.140074259637
"12",1166021.23618471,3302733.38904144,65915.1153956749,100.744569438456
"13",4324617.60239329,4050297.72928158,244470.391668548,123.547817146832
"14",2375390.41953403,2891932.86984423,134280.687824936,88.2137603913385
"15",2309800.20475592,1970540.85098824,130572.876644694,60.1081789563755
"16",988174.836078182,3691252.45016141,55861.4683248163,112.595718447648
"17",2808543.67188382,2754613.74483335,158766.817002197,84.0250613668309
"18",2433873.7334399,4356422.10125577,137586.74629557,132.885648699172
"19",1139888.49754933,5628814.2259423,64437.8331393132,171.69792376314
"20",2495486.70800952,5573312.98004887,141069.724308831,170.004947533395
"21",2467348.96251811,5865362.36070504,139479.099126816,178.913444115831
"22",1397824.26314112,7931275.3228455,79018.9275705657,241.930795912602
"23",3159847.08856232,2923800.76593648,178625.979537716,89.1858393006976
"24",2220787.44923479,3033288.27047518,125540.990543665,92.5255795111066
"25",2986186.10071314,5515057.13913082,168808.933588141,168.227946813313
"26",3228266.97825825,1725109.56099693,182493.752083114,52.6216922423884
"27",2931562.41747122,5488443.42206361,165721.059823501,167.416138183531
"28",2224556.19100185,3053505.43475112,125754.03730539,93.1422715871322
"29",1820308.65713157,3268872.62986127,102901.946780295,99.7117014462093
"30",1111887.49826537,6746076.62127731,62854.9382127721,205.778215966342
"31",1111086.20912233,4000140.09499127,62809.6413822427,122.017839193602
"32",4757927.54120567,2775943.33173916,268965.378322792,84.675686105799
"33",3236247.59682075,4312396.09977507,182944.896004984,131.542706341794
"34",3731476.12892761,1449925.35295646,210940.137281948,44.2276406222106
"35",3009008.59309261,3880514.33971782,170099.087808429,118.368847952359
"36",3266672.77135622,3492120.47362729,184664.829423179,106.521517816158
"37",2956809.11333906,4067574.27650708,167148.254131671,124.074810429848
"38",3429073.00109423,3769545.32416032,193845.305345291,114.983916631398
"39",1849945.5975973,8340809.09788041,104577.321370526,254.422964966663
"40",1594995.27919912,5367707.14453783,90164.9941024845,163.733272247305
"41",1844357.70868366,9172211.95153503,104261.438322147,279.783571668752
"42",2310660.45439689,4620514.78770926,130621.50650888,140.941371294547
"43",3445181.73242576,2963904.75376106,194755.931028293,90.4091469402298
"44",1573506.48880036,5415958.62728019,88950.2339807202,165.205106113695
"45",2268610.22916723,1854643.05102098,128244.409623838,56.5729029951646
"46",2524979.84936852,2695948.67220624,142736.969943586,82.2355776917319
"47",2998053.94396282,1231886.08505963,169479.822104597,37.576703480924
"48",3618784.53977016,4602735.25957103,204569.68803718,140.399035387856
"49",1817655.80898857,3958879.37066034,102751.98142285,120.759247167606
"50",4427918.92981171,2627588.63024258,250310.00994136,80.1503645718129
"51",1438959.81875851,2027658.17335834,81344.3182334814,61.8504509995096
"52",3494991.6920368,2372892.59177242,197571.685264775,72.3812716082408
"53",3440570.73698166,4178658.50750004,194495.271713218,127.463256212338
"54",1559616.94466185,3804990.8047619,88165.0588258674,116.06512400151
"55",3004848.01876838,7518519.9861759,169863.890774118,229.340358302901
"56",2711689.76294696,4987789.52337352,153291.670936261,152.14449632816
"57",2194807.37062259,7334357.28040065,124072.338149893,223.722771197169
"58",2731287.74552153,4100121.92173652,154399.543797267,125.06762399323
"59",5996433.09488309,7969502.66999793,338978.028140346,243.096859647091
"60",1718661.15091624,7453144.79713649,97155.8189277791,227.346193320167
"61",2091151.5817813,3239846.14137935,118212.682192631,98.8262951054724
"62",2333086.40001704,3571488.55441812,131889.243962998,108.942513453578
"63",1826052.26389969,3100681.59161441,103226.632550296,94.5813043672901
"64",1849286.04165133,3134679.53262682,104540.036709716,95.6183568706663
"65",2011406.26001348,4225484.87251443,113704.68360438,128.891619154801
"66",3179500.46090963,11652679.0603232,179736.983579482,355.44623088014
"67",3723975.8541195,2298807.08791435,210516.147165701,70.1214124828943
"68",1604218.02889667,5170997.97975266,90686.3556280848,157.732975591016
"69",1696579.46602957,10581735.8571414,95907.5425137079,322.778831127083
"70",3462106.6903624,3577794.4220835,195712.697955721,109.13486380344
"71",2753366.07850773,3837589.91696816,155647.630728591,117.059507482233
"72",4526763.54327812,4469535.65543852,255897.690423233,136.33599572131
"73",2626567.71305934,2633830.30114395,148479.72620752,80.3407567026527
"74",4233066.38463406,6095710.38021635,239295.006438892,185.93983992594
"75",3684396.88278597,4526008.59753911,208278.750125465,138.058611980837
"76",2664242.34642519,5655139.6360359,150609.471128741,172.500938052446
"77",2629799.41786698,3432599.28864796,148662.414299906,104.70591981085
"78",2001424.48235829,4749417.09416709,113140.414270703,144.873328807923
"79",3809093.98792535,8646202.98723854,215327.870518558,263.738514321814
"80",2418042.20978863,4504150.58321014,136691.791147259,137.391868413325
"81",2410242.78445199,3891242.05130823,136250.890068334,118.696079538421
"82",1228734.38006318,4169672.63520141,69460.2859185553,127.189156632045
"83",2220734.35525204,2318198.79483662,125537.989143784,70.712925310131
"84",1982554.09663678,3208173.27586204,112073.672419187,97.8601652900862
"85",3459514.96186934,3070054.53957763,195566.187688676,93.64707540989
"86",2611826.55188726,3496206.81386342,147646.409189295,106.646165052001
"87",4914621.83365419,5055964.15991822,277823.297928427,154.224053954007
"88",1659009.55702848,5010255.96772525,93783.7176549816,152.82979907483
"89",2099983.35325715,5533695.20024438,118711.941741182,168.796470887428
"90",1391494.47557907,4515795.70130446,78661.1050330038,137.747084009099
"91",1234980.04684979,3659512.21354622,69813.3531133771,111.627533585291
"92",3290207.6163026,2290139.51074127,185995.252894312,69.8570219834146
"93",1818109.82070792,9793350.36764359,102777.646680003,298.730399923243
"94",2622023.68780085,8772779.48012302,148222.852713299,267.599526633309
"95",3034770.55176913,6037733.65762172,171555.409894413,184.17135326134
"96",2253905.46955262,3626907.29150195,127413.150383625,110.632972884805
"97",1029665.60812232,5376967.38895835,58206.9393525083,164.015741107836
"98",1583130.71984937,8038503.16250679,89494.2912247085,245.201608680698
"99",2011511.75925398,6843825.94276377,113710.647470557,208.759901784134
"100",1605968.25857157,4517102.75383527,90785.2960139114,137.786953544099
"101",3968037.76521456,2405416.0079702,224312.953376674,73.3733461039859
"102",2951793.06974061,3958700.49403523,166864.69746704,120.753790823888
"103",1835070.0466248,2185335.97116921,103736.407304385,66.660158589946
"104",1837653.23888594,2967712.36815531,103882.435018717,90.5252920926087
"105",1519472.45703412,6094834.97766372,85895.6931810866,185.913137179196
"106",2391148.83931747,2586614.3523224,135171.510415679,78.9005101328151
"107",1282600.58227922,2519469.76599251,72505.3393230841,76.8523725318896
"108",1582528.13986041,6026024.21951888,89460.2274115675,183.814175687168
"109",3898442.09723273,6319085.64982571,220378.714150404,192.75354321627
"110",2032346.34661284,3287456.4211003,114888.425530993,100.278570105097
"111",2466821.64314891,2568214.11284349,139449.289792309,78.3392404251183
"112",2267803.94362976,7758892.01211422,128198.830347411,236.672520305003
"113",3391194.10483916,5436470.69514189,191704.013454344,165.830793749238
"114",4256748.14296113,6631366.29472226,240633.734915235,202.279161971466
"115",2669410.54474403,4354413.14080848,150901.629091222,132.82436859223
"116",1539769.41949694,4093468.57133739,87043.0793361589,124.864674241516
"117",2115586.76860176,5326995.17680326,119594.00193965,162.491419158582
"118",1482385.61331518,9942542.11209299,83799.1759757964,303.281254106084
"119",2531475.85446967,9942863.77210846,143104.188749355,303.291065827452
"120",1934204.37186527,2933503.67847069,109340.465176675,89.4818110399855
"121",5207883.64439093,2046902.82495584,294401.371719868,62.4374781406092
"122",3282557.25483522,11149151.5571039,185562.778387595,340.086934340926
"123",3358032.62858508,2258013.86386543,189829.397052734,68.8770808010058
"124",2408153.20742104,11039091.3918413,136132.766395411,336.729726036285
"125",2494190.159035,6648103.11489468,140996.430467674,202.789691748903
"126",3658211.59429214,2449553.41945519,206798.497228539,74.7196868443367
"127",1627620.49176291,4649362.70149156,92009.2955476174,141.821330501318
"128",4231918.07721481,6253224.55109548,239230.092684579,190.744556340025
"129",1939925.48356417,13608087.8729229,109663.879301669,415.092831346035
"130",1758725.19148955,3840794.13655723,99420.6369050637,117.157247046667
"131",1964846.9964072,6998660.29730831,111072.691031597,213.482874711537
"132",4396717.49892177,13976061.3104902,248546.194794776,426.317269157305
"133",3142653.76057703,6301681.68061739,177654.041666417,192.222663130633
"134",4102639.01187338,3062117.2023278,231921.954337024,93.4049597046458
"135",3010223.87187242,4769951.75714201,170167.787450016,145.49970567105
"136",5237635.56369774,1700815.68855646,296083.246057567,51.8806467413715
"137",2177386.30742845,4077841.64075193,123087.52641995,124.387999860622
"138",1066832.21963963,3262378.11429055,60307.9658269879,99.5135966954431
"139",6842693.26057211,4404903.16736029,386817.068069562,134.364485636729
"140",4629035.31024374,2912033.4385856,261679.107701117,88.8268959081311
"141",8390724.33462646,2902539.23784928,474327.178276696,88.5372905865157
"142",4514518.897227,4207764.79718703,255205.501265444,128.351096760472
"143",1438698.16949479,3535188.94844967,81329.527215208,107.835252363048
"144",4498840.2067705,3978043.72583927,254319.185769103,121.343824995618
"145",2653577.50668306,5206942.42321946,150006.588333416,158.829403020727
"146",2811371.78901363,5485472.16383409,158926.690305684,167.325504730642
"147",2279537.8588509,5048955.98430424,128862.147919889,154.010280829866
"148",1923690.66439826,5055154.70337006,108746.125880427,154.199362784052
"149",2209611.52362109,3438422.83006641,124909.216092549,104.883557574393
"150",2166228.23100933,1976062.1448183,122456.760982807,60.2765971434133
"151",1893236.74008825,3578824.97007852,107024.567239082,109.166299012346
"152",3369868.81999975,6512755.39995501,190498.496292723,198.661127417516
"153",2585347.2386989,2111896.78913972,146149.5350928,64.4200144723425
"154",1943529.69321646,3353497.51947304,109867.62507213,102.2930475809
"155",1039746.6076698,2023174.72952837,58776.8176942187,61.7136907572961
