"","stat1","ifngr","factor.stat1","factor.ifngr"
"1",5206358.83302617,4589653.5867203,294315.174218531,140
"2",5192554.50551223,4589653.5867203,293534.816354708,140
"3",2840309.69392589,4589653.5867203,160562.548455096,140
"4",3337196.16415136,4589653.5867203,188651.512881361,140
"5",2153146.28718013,4589653.5867203,121717.23942836,140
"6",1825954.8179159,4589653.5867203,103221.123934272,140
"7",4645188.90952812,4589653.5867203,262592.26976699,140
"8",4756718.58621034,4589653.5867203,268897.036164389,140
"9",1265112.77273513,4589653.5867203,71516.7544257043,140
"10",12134548.2479694,4589653.5867203,685965.335122407,140
"11",1581679.95150147,4589653.5867203,89412.2793709815,140
"12",4602590.38541394,4589653.5867203,260184.177576611,140
"13",3720132.30930224,4589653.5867203,210298.871791723,140
"14",1880154.47833372,4589653.5867203,106285.027712334,140
"15",3398585.45683467,4589653.5867203,192121.846170074,140
"16",2137552.01854926,4589653.5867203,120835.69629311,140
"17",1148555.25752842,4589653.5867203,64927.7645971636,140
"18",2249428.64711665,4589653.5867203,127160.07586121,140
"19",1023510.19423604,4589653.5867203,57858.9741491043,140
"20",1601222.73564543,4589653.5867203,90517.0318677857,140
"21",1087669.38736001,4589653.5867203,61485.8897551163,140
"22",1957243.44789373,4589653.5867203,110642.862858552,140
"23",5220179.45517134,4589653.5867203,295096.453216948,140
"24",2219320.32881458,4589653.5867203,125458.054308203,140
"25",1501161.02065169,4589653.5867203,84860.5487045095,140
"26",3779971.86054983,4589653.5867203,213681.598283581,140
"27",2388762.91220776,4589653.5867203,135036.634089347,140
"28",6329357.97193373,4589653.5867203,357798.252856568,140
"29",2139722.42692079,4589653.5867203,120958.389357203,140
"30",5492497.49222899,4589653.5867203,310490.576651365,140
"31",2045373.35863352,4589653.5867203,115624.84179337,140
"32",3684187.87231534,4589653.5867203,208266.934775228,140
"33",2867365.62997269,4589653.5867203,162092.019009593,140
"34",959738.759409941,4589653.5867203,54253.9784980268,140
"35",3225696.16050321,4589653.5867203,182348.423898921,140
"36",3701612.23252657,4589653.5867203,209251.932885362,140
"37",3791876.76537496,4589653.5867203,214354.581888828,140
"38",2596123.73497639,4589653.5867203,146758.729825836,140
"39",2424821.71302155,4589653.5867203,137075.036086593,140
"40",2269756.56518826,4589653.5867203,128309.21193512,140
"41",2124612.32137756,4589653.5867203,120104.215934271,140
"42",3121720.61059546,4589653.5867203,176470.691866421,140
"43",1174769.46420715,4589653.5867203,66409.6522374683,140
"44",5763520.17548383,4589653.5867203,325811.473807613,140
"45",3289164.18885043,4589653.5867203,185936.267998684,140
"46",1678523.9217175,4589653.5867203,94886.8636015846,140
"47",1195006.43375814,4589653.5867203,67553.6469965832,140
"48",2703216.6132427,4589653.5867203,152812.68425644,140
"49",1524383.20954982,4589653.5867203,86173.2977466872,140
"50",640396.181943309,4589653.5867203,36201.5604191414,140
"51",2466493.74834065,4589653.5867203,139430.753917101,140
"52",1567089.64649687,4589653.5867203,88587.4902434842,140
"53",6799855.66763876,4589653.5867203,384395.461332181,140
"54",2908099.4518178,4589653.5867203,164394.699684786,140
"55",2145679.80709266,4589653.5867203,121295.159725785,140
"56",1528583.81138969,4589653.5867203,86410.7575342226,140
"57",3458221.41728385,4589653.5867203,195493.063685462,140
"58",1455494.29787436,4589653.5867203,82279.0114149663,140
"59",1732517.44437164,4589653.5867203,97939.1144233719,140
"60",3551750.75373517,4589653.5867203,200780.271854365,140
"61",4143308.46915578,4589653.5867203,234220.99648708,140
"62",1746786.71401748,4589653.5867203,98745.7554399587,140
"63",1703541.00449772,4589653.5867203,96301.0778947282,140
"64",1223433.48175542,4589653.5867203,69160.6264331073,140
"65",2249138.7342677,4589653.5867203,127143.687104042,140
"66",1815888.54873929,4589653.5867203,102652.078299605,140
"67",998243.04986219,4589653.5867203,56430.6238880312,140
"68",3254311.46608951,4589653.5867203,183966.045526444,140
"69",881252.785304628,4589653.5867203,49817.1707628424,140
"70",2223662.16605313,4589653.5867203,125703.498124943,140
"71",4236663.76678554,4589653.5867203,239498.366251114,140
"72",910318.905405847,4589653.5867203,51460.2769097299,140
"73",1882379.15321012,4589653.5867203,106410.788458918,140
"74",2169750.62027591,4589653.5867203,122655.881451431,140
"75",2385229.92249326,4589653.5867203,134836.914377993,140
"76",6691508.15145507,4589653.5867203,378270.582290139,140
"77",3545055.70835306,4589653.5867203,200401.801312623,140
"78",1574360.49494576,4589653.5867203,88998.5109004504,140
"79",4715476.46747391,4589653.5867203,266565.621494302,140
"80",2657776.40358612,4589653.5867203,150243.951740969,140
"81",2533792.42602225,4589653.5867203,143235.144409914,140
"82",4391419.94932241,4589653.5867203,248246.724611627,140
"83",6260123.98614633,4589653.5867203,353884.459504561,140
"84",1406289.73767665,4589653.5867203,79497.480373527,140
"85",519876.263749381,4589653.5867203,29388.5761709097,140
"86",7919325.88964464,4589653.5867203,447679.050494746,140
"87",1852980.20764541,4589653.5867203,104748.867707158,140
"88",10231257.089925,4589653.5867203,578372.392197488,140
"89",2412312.71285786,4589653.5867203,136367.903005577,140
"90",3502566.37600648,4589653.5867203,197999.881726772,140
"91",986198.447581099,4589653.5867203,55749.7431933957,140
"92",2408504.97050065,4589653.5867203,136152.651542667,140
"93",1659567.76053633,4589653.5867203,93815.2728681222,140
"94",3387149.40257847,4589653.5867203,191475.366661318,140
"95",4905170.07558541,4589653.5867203,277288.990572385,140
"96",3604244.68891929,4589653.5867203,203747.751080177,140
"97",1679601.94235228,4589653.5867203,94947.8040478946,140
"98",6242758.57721167,4589653.5867203,352902.7939068,140
"99",544449.136813976,4589653.5867203,30777.6793136242,140
"100",1798860.74369823,4589653.5867203,101689.497431104,140
"101",3218843.35901086,4589653.5867203,181961.035413074,140
"102",4238556.05537505,4589653.5867203,239605.337219454,140
"103",2241712.04894495,4589653.5867203,126723.856997295,140
"104",3302729.70981614,4589653.5867203,186703.126141665,140
"105",2413999.8583157,4589653.5867203,136463.277244134,140
"106",2007255.29421205,4589653.5867203,113470.029739327,140
"107",1596909.45949515,4589653.5867203,90273.2026077721,140
"108",3782965.99000958,4589653.5867203,213850.856254812,140
"109",2621597.11715411,4589653.5867203,148198.73869845,140
"110",2592870.34078486,4589653.5867203,146574.815633789,140
"111",480946.651968318,4589653.5867203,27187.8873899285,140
"112",943834.201582312,4589653.5867203,53354.8947318035,140
"113",1470847.26831836,4589653.5867203,83146.9139771821,140
"114",3120878.87472342,4589653.5867203,176423.10858456,140
"115",3272010.05362288,4589653.5867203,184966.545691793,140
"116",1401991.25295997,4589653.5867203,79254.4872724289,140
"117",3584006.32738226,4589653.5867203,202603.677632169,140
"118",7306839.39348275,4589653.5867203,413055.223054944,140
"119",4894628.61750819,4589653.5867203,276693.082535691,140
"120",2160275.66405901,4589653.5867203,122120.26270537,140
"121",3334323.4140066,4589653.5867203,188489.116476031,140
