"","stat1","ifngr","factor.stat1","factor.ifngr"
"1",3589213.27389105,4589653.5867203,202898.026027665,140
"2",2044494.32771576,4589653.5867203,115575.150224656,140
"3",2121463.75396771,4589653.5867203,119926.227594341,140
"4",2144751.20576336,4589653.5867203,121242.665944473,140
"5",2046969.79107854,4589653.5867203,115715.088030376,140
"6",1903819.31117085,4589653.5867203,107622.799391676,140
"7",2300287.32201954,4589653.5867203,130035.113914603,140
"8",2869980.732242,4589653.5867203,162239.850594905,140
"9",3804255.37229531,4589653.5867203,215054.343847077,140
"10",1442585.87569425,4589653.5867203,81549.2990296569,140
"11",1930706.44566079,4589653.5867203,109142.727603586,140
"12",2170424.97274401,4589653.5867203,122694.002558811,140
"13",4615294.8176658,4589653.5867203,260902.358422664,140
"14",2052409.46459888,4589653.5867203,116022.592470846,140
"15",2904863.82657123,4589653.5867203,164211.789970206,140
"16",3886730.80318207,4589653.5867203,219716.67535143,140
"17",2579734.80944935,4589653.5867203,145832.264780602,140
"18",2789376.63544151,4589653.5867203,157683.305501993,140
"19",2372970.87913645,4589653.5867203,134143.911341317,140
"20",1941453.86980752,4589653.5867203,109750.278890693,140
"21",3549434.67161422,4589653.5867203,200649.343861348,140
"22",2791903.77847489,4589653.5867203,157826.164756609,140
"23",2330868.3819034,4589653.5867203,131763.859522841,140
"24",4300982.00782838,4589653.5867203,243134.272827102,140
"25",3222456.16062883,4589653.5867203,182165.266886875,140
"26",2167186.18002537,4589653.5867203,122510.913787212,140
"27",3792159.24100753,4589653.5867203,214370.55022057,140
"28",5466118.07495355,4589653.5867203,308999.34966525,140
"29",3330152.06787416,4589653.5867203,188253.310512003,140
"30",2090566.0211089,4589653.5867203,118179.580480506,140
"31",2548446.27377993,4589653.5867203,144063.525605696,140
"32",2392218.13972796,4589653.5867203,135231.957908197,140
"33",2436372.51400551,4589653.5867203,137728.002221465,140
"34",2967207.82798683,4589653.5867203,167736.092890266,140
"35",1886289.3373742,4589653.5867203,106631.830951452,140
"36",2986197.64579514,4589653.5867203,168809.586230982,140
"37",1531067.06992577,4589653.5867203,86551.136000655,140
"38",2711872.45242625,4589653.5867203,153301.998362327,140
"39",2504818.64084857,4589653.5867203,141597.257951326,140
"40",949651.095185784,4589653.5867203,53683.723402516,140
"41",6695861.07295349,4589653.5867203,378516.652699471,140
"42",1954120.38923273,4589653.5867203,110466.31652677,140
"43",5500353.85915341,4589653.5867203,310934.696635069,140
"44",4868503.09297062,4589653.5867203,275216.208091876,140
"45",1396117.99532048,4589653.5867203,78922.4723459065,140
"46",1693136.58609361,4589653.5867203,95712.9167031054,140
"47",1341152.93177751,4589653.5867203,75815.3003719033,140
"48",2209635.11248698,4589653.5867203,124910.549569821,140
"49",6740925.42117708,4589653.5867203,381064.137789115,140
"50",2559448.40306691,4589653.5867203,144685.475360164,140
"51",3295971.22445078,4589653.5867203,186321.069341212,140
"52",2414665.98743915,4589653.5867203,136500.9334863,140
"53",3012226.13530703,4589653.5867203,170280.975290211,140
"54",2211641.31914582,4589653.5867203,125023.960320261,140
"55",2763960.51065229,4589653.5867203,156246.533386355,140
"56",1682547.14915568,4589653.5867203,95114.2964240929,140
"57",3373116.49004625,4589653.5867203,190682.086899171,140
"58",1824517.06914201,4589653.5867203,103139.848076337,140
"59",3252027.24814592,4589653.5867203,183836.918813595,140
"60",3457934.08432941,4589653.5867203,195476.820769586,140
"61",1847072.29001572,4589653.5867203,104414.893453324,140
"62",3065965.0194441,4589653.5867203,173318.831410843,140
"63",5322223.8445848,4589653.5867203,300865.016854501,140
"64",4078436.75660006,4589653.5867203,230553.802197363,140
"65",6002629.76773826,4589653.5867203,339328.325710958,140
"66",3025586.14616631,4589653.5867203,171036.215958347,140
"67",3548536.42226068,4589653.5867203,200598.565875532,140
"68",5352796.4314649,4589653.5867203,302593.283484309,140
"69",1960553.70824273,4589653.5867203,110829.991691306,140
"70",2185969.54765646,4589653.5867203,123572.736510933,140
"71",2050163.01106677,4589653.5867203,115895.60057807,140
"72",2893330.08105766,4589653.5867203,163559.787980123,140
"73",2418648.85641837,4589653.5867203,136726.084847376,140
"74",3487189.98283437,4589653.5867203,197130.655079044,140
"75",2945425.63854,4589653.5867203,166504.746936691,140
"76",2289978.06026226,4589653.5867203,129452.331922915,140
"77",1436712.78634053,4589653.5867203,81217.2936163194,140
"78",2356437.07674784,4589653.5867203,133209.256415185,140
"79",1954264.62189668,4589653.5867203,110474.469991212,140
"80",3888149.99675215,4589653.5867203,219796.902284729,140
"81",2042837.69764171,4589653.5867203,115481.501019041,140
"82",2646119.62735211,4589653.5867203,149584.994831127,140
"83",3855925.67941062,4589653.5867203,217975.263424134,140
"84",2411251.99439804,4589653.5867203,136307.940650251,140
"85",1829623.07860255,4589653.5867203,103428.49050613,140
"86",2564323.99385488,4589653.5867203,144961.092235258,140
"87",2317351.52054834,4589653.5867203,130999.752104934,140
"88",1081714.55110321,4589653.5867203,61149.2631939111,140
"89",2290146.50323306,4589653.5867203,129461.853994652,140
"90",4265991.39015531,4589653.5867203,241156.255163176,140
"91",2523282.56449721,4589653.5867203,142641.022524551,140
"92",3388341.7239622,4589653.5867203,191542.768522586,140
"93",2542690.42591438,4589653.5867203,143738.147847141,140
"94",4360509.18731766,4589653.5867203,246499.340960899,140
"95",1904470.89995954,4589653.5867203,107659.633669529,140
"96",3852441.91275069,4589653.5867203,217778.326289308,140
"97",1338181.88583979,4589653.5867203,75647.3473108842,140
"98",2695951.65715113,4589653.5867203,152401.996694104,140
"99",3543528.43899935,4589653.5867203,200315.464861308,140
"100",4392473.88344629,4589653.5867203,248306.303448821,140
"101",2758531.11231921,4589653.5867203,155939.609801648,140
"102",1821327.79047109,4589653.5867203,102959.558331092,140
"103",2637331.20851501,4589653.5867203,149088.186004824,140
"104",4028539.08361477,4589653.5867203,227733.08952873,140
"105",1825546.14324263,4589653.5867203,103198.021577803,140
"106",3170162.95356276,4589653.5867203,179209.134810372,140
"107",1061420.69242994,4589653.5867203,60002.0524958889,140
"108",1154922.70598129,4589653.5867203,65287.7161027816,140
"109",1739321.70244975,4589653.5867203,98323.7587527226,140
"110",1585018.84977827,4589653.5867203,89601.0271041957,140
"111",4282747.2050524,4589653.5867203,242103.46044402,140
"112",1803703.30487492,4589653.5867203,101963.247144117,140
"113",3910363.30271767,4589653.5867203,221052.619231041,140
"114",2785991.23636175,4589653.5867203,157491.929080983,140
"115",4800754.85433132,4589653.5867203,271386.403943218,140
"116",3504056.3259381,4589653.5867203,198084.10851324,140
"117",3175074.10602513,4589653.5867203,179486.761984935,140
"118",4985063.51197459,4589653.5867203,281805.362071913,140
"119",2287458.80371946,4589653.5867203,129309.918491172,140
"120",3056411.64490672,4589653.5867203,172778.779681501,140
"121",2972204.40998718,4589653.5867203,168018.549391843,140
"122",2467494.22738213,4589653.5867203,139487.31094147,140
"123",4263778.68289218,4589653.5867203,241031.170945102,140
"124",1556409.29143721,4589653.5867203,87983.7303681257,140
"125",2642173.46210263,4589653.5867203,149361.918329844,140
"126",2468423.1232411,4589653.5867203,139539.821372528,140
"127",2344587.64657623,4589653.5867203,132539.408789004,140
"128",2057935.32313863,4589653.5867203,116334.968945651,140
